                  Time        error x        error y        error z
252495430.000000000000000         -0.000          0.002         -0.002
252495440.000000000000000         -0.012         -0.001          0.007
252495450.000000000000000         -0.003         -0.002          0.001
252495460.000000000000000         -0.020         -0.002          0.011
252495480.000000000000000          0.000          0.000          0.000
252495490.000000000000000         -0.015         -0.006         -0.006
252495520.000000000000000         -0.008          0.001          0.008
252495530.000000000000000         -0.013          0.002          0.001
252495540.000000000000000          0.004         -0.001         -0.016
252495550.000000000000000         -0.018         -0.001         -0.006
252495560.000000000000000         -0.004          0.003          0.007
252495570.000000000000000          0.001          0.002         -0.004
252495580.000000000000000         -0.014         -0.002         -0.014
252495590.000000000000000         -0.010         -0.001         -0.009
252495600.000000000000000          0.000          0.000          0.000
252495610.000000000000000          0.005          0.001          0.015
252495620.000000000000000          0.005          0.002          0.018
252495630.000000000000000          0.003         -0.000          0.011
252495640.000000000000000          0.023          0.000          0.008
252495650.000000000000000          0.018         -0.003          0.007
252495660.000000000000000         -0.000         -0.004          0.014
252495670.000000000000000         -0.013         -0.001          0.014
252495680.000000000000000         -0.017         -0.003          0.018
252495690.000000000000000         -0.005         -0.004          0.006
252495700.000000000000000          0.008         -0.007          0.002
252495710.000000000000000          0.005         -0.005         -0.003
252495720.000000000000000          0.000          0.000          0.000
252495730.000000000000000         -0.002          0.007          0.003
252495750.000000000000000         -0.000          0.004         -0.006
252495760.000000000000000         -0.002          0.009         -0.008
252495770.000000000000000         -0.000          0.011         -0.011
252495780.000000000000000          0.000          0.004         -0.015
252495810.000000000000000          0.003          0.002         -0.010
252495820.000000000000000          0.009         -0.002         -0.007
252495830.000000000000000          0.005         -0.006         -0.008
252495840.000000000000000          0.000          0.000          0.000
252495850.000000000000000          0.005         -0.010         -0.009
252495860.000000000000000          0.003         -0.003          0.011
252495870.000000000000000          0.000          0.002          0.015
252495880.000000000000000         -0.002         -0.001          0.001
252495890.000000000000000          0.006         -0.007          0.006
252495900.000000000000000          0.004         -0.003          0.001
252495910.000000000000000          0.010         -0.002         -0.007
252495930.000000000000000          0.007         -0.003         -0.005
252495940.000000000000000          0.004          0.004          0.012
252495950.000000000000000          0.008         -0.006         -0.008
252495960.000000000000000          0.000          0.000          0.000
252495970.000000000000000         -0.004         -0.008          0.004
252495980.000000000000000         -0.005         -0.009         -0.004
252495990.000000000000000          0.004         -0.016          0.018
252496000.000000000000000          0.004         -0.017          0.027
252496030.000000000000000         -0.002         -0.001         -0.017
252496040.000000000000000         -0.001         -0.006         -0.023
252496050.000000000000000         -0.004         -0.010         -0.016
252496060.000000000000000         -0.007         -0.014         -0.027
252496080.000000000000000          0.000          0.000          0.000
252496090.000000000000000          0.003          0.001         -0.002
252496100.000000000000000          0.003          0.009          0.014
252496110.000000000000000         -0.003          0.005          0.012
252496130.000000000000000         -0.010          0.001         -0.024
252496140.000000000000000         -0.007          0.003         -0.003
252496150.000000000000000         -0.009          0.008         -0.002
252496160.000000000000000         -0.011          0.012         -0.006
252496200.000000000000000          0.000          0.000          0.000
252496210.000000000000000          0.008          0.000          0.005
252496220.000000000000000          0.012         -0.006          0.000
252496230.000000000000000          0.013         -0.006         -0.021
252496240.000000000000000          0.019         -0.004          0.015
252496250.000000000000000          0.022         -0.010          0.024
252496260.000000000000000          0.021         -0.003          0.018
252496270.000000000000000          0.018          0.001          0.007
252496280.000000000000000          0.014          0.004          0.022
252496290.000000000000000          0.013          0.002          0.024
252496300.000000000000000          0.010          0.009          0.003
252496320.000000000000000          0.000          0.000          0.000
252496330.000000000000000         -0.011          0.001          0.024
252496340.000000000000000         -0.011         -0.001          0.018
252496350.000000000000000         -0.012         -0.002         -0.011
252496360.000000000000000         -0.014         -0.006         -0.007
252496370.000000000000000         -0.022         -0.006         -0.025
252496380.000000000000000         -0.016         -0.009         -0.012
252496390.000000000000000         -0.013         -0.016          0.005
252496400.000000000000000         -0.011         -0.017          0.004
252496410.000000000000000         -0.015         -0.013          0.004
252496420.000000000000000         -0.019         -0.010         -0.002
252496430.000000000000000         -0.006         -0.007          0.002
252496440.000000000000000          0.000          0.000          0.000
252496450.000000000000000          0.000          0.008         -0.002
252496460.000000000000000          0.006          0.014         -0.020
252496470.000000000000000          0.019          0.015         -0.012
252496510.000000000000000          0.022          0.003         -0.015
252496520.000000000000000         -0.002         -0.019          0.016
252496540.000000000000000          0.003         -0.008          0.019
252496550.000000000000000          0.006          0.002         -0.001
252496560.000000000000000          0.000          0.000          0.000
252496570.000000000000000         -0.006          0.005         -0.015
252496580.000000000000000         -0.006         -0.007          0.013
252496590.000000000000000         -0.017         -0.007          0.016
252496600.000000000000000          0.007          0.009          0.003
252496620.000000000000000          0.006          0.016         -0.008
252496630.000000000000000          0.002          0.016         -0.019
252496640.000000000000000          0.002          0.010         -0.011
252496650.000000000000000         -0.001          0.003          0.003
252496660.000000000000000         -0.003          0.013         -0.013
252496670.000000000000000         -0.003          0.012         -0.017
252496680.000000000000000          0.000          0.000          0.000
252496690.000000000000000          0.005         -0.002          0.000
252496700.000000000000000          0.005          0.001         -0.002
252496710.000000000000000          0.011          0.009         -0.004
252496720.000000000000000          0.007          0.004         -0.004
252496730.000000000000000          0.011          0.001         -0.003
252496740.000000000000000         -0.006         -0.006          0.001
252496750.000000000000000          0.008          0.002         -0.002
252496770.000000000000000         -0.009         -0.004          0.005
252496780.000000000000000          0.011          0.004         -0.009
252496790.000000000000000          0.016          0.008         -0.013
252496800.000000000000000          0.000          0.000          0.000
252496830.000000000000000          0.022          0.012         -0.014
252496840.000000000000000          0.022          0.017         -0.015
252496870.000000000000000          0.021          0.006         -0.017
252496890.000000000000000          0.018          0.012         -0.007
252496900.000000000000000          0.009          0.012          0.001
252496910.000000000000000          0.012          0.006         -0.006
252496920.000000000000000          0.000          0.000          0.000
252496950.000000000000000          0.003          0.003          0.002
252496960.000000000000000         -0.023         -0.006          0.015
252496970.000000000000000         -0.012         -0.002          0.007
252496980.000000000000000         -0.004         -0.000          0.007
252496990.000000000000000         -0.009         -0.005          0.005
252497000.000000000000000         -0.007         -0.008         -0.003
252497010.000000000000000         -0.003         -0.002          0.003
252497020.000000000000000         -0.003          0.000          0.002
252497030.000000000000000         -0.018         -0.010          0.002
