                  Time      g_error x      g_error y      g_error z      d_error x      d_error y      d_error z
252765820.000000000000000         99.010        -80.765         70.265         -0.007          0.013          0.045
252765830.000000000000000        131.678       -107.283         95.010         -0.015          0.016          0.042
252765840.000000000000000          0.000          0.000          0.000         -0.008          0.011          0.034
252765850.000000000000000       1394.943      -1136.241       1529.206         -0.015          0.009          0.041
252765860.000000000000000       1321.571      -1076.238       1449.885         -0.020          0.014          0.041
252765870.000000000000000       1243.171      -1012.171       1365.354         -0.010          0.011          0.035
252765880.000000000000000       1161.024       -945.091       1277.138          0.005          0.005          0.044
252765890.000000000000000       1076.384       -876.024       1186.674          0.010          0.005          0.036
252765900.000000000000000          0.000          0.000          0.000         -0.006          0.010          0.037
252765910.000000000000000       1313.621      -1069.033       1645.419         -0.016          0.014          0.036
252765920.000000000000000       1244.492      -1012.504       1559.971         -0.015          0.016          0.033
252765930.000000000000000       1170.606       -952.139       1468.907         -0.004          0.010          0.039
252765940.000000000000000       1093.163       -888.921       1373.824          0.003          0.007          0.036
252765950.000000000000000       1013.355       -823.820       1276.315          0.010          0.005          0.044
252765970.000000000000000        123.625       -100.110        168.849         -0.006          0.014          0.027
252765980.000000000000000        133.258       -107.951        182.483         -0.008          0.011          0.029
252765990.000000000000000        143.394       -116.195        196.875         -0.004          0.010          0.035
252766000.000000000000000        153.707       -124.590        211.557         -0.012          0.015          0.024
252766010.000000000000000        163.894       -132.880        226.099         -0.013          0.015          0.026
252766020.000000000000000          0.000          0.000          0.000         -0.003          0.012          0.031
252766030.000000000000000      -1188.155        969.445      -1465.214          0.007          0.010          0.032
252766040.000000000000000      -1030.256        841.152      -1255.796          0.004          0.011          0.036
252766050.000000000000000       -868.606        709.779      -1042.665          0.001          0.010          0.033
252766060.000000000000000       -707.523        578.843       -831.451         -0.006          0.017          0.028
252766070.000000000000000       -551.082        451.652       -627.449         -0.007          0.013          0.032
252766080.000000000000000          0.000          0.000          0.000         -0.004          0.013          0.037
252766090.000000000000000        105.585        -84.647        188.456          0.008          0.008          0.044
