                  Time        error x        error y        error z
252738950.000000000000000          0.003          0.024          0.010
252738960.000000000000000          0.007          0.023          0.027
252738970.000000000000000          0.010          0.018          0.052
252738980.000000000000000          0.004          0.012          0.046
252738990.000000000000000          0.008          0.021          0.030
252739000.000000000000000          0.009          0.025          0.029
252739010.000000000000000          0.008          0.020          0.047
252739020.000000000000000          0.011          0.024          0.013
252739030.000000000000000          0.013          0.028          0.030
252739040.000000000000000          0.010          0.027          0.037
252739050.000000000000000          0.007          0.021          0.023
252739060.000000000000000          0.006          0.014          0.012
252739070.000000000000000          0.000          0.014          0.040
252739080.000000000000000          0.009          0.022          0.022
252739090.000000000000000          0.012          0.056          0.006
252739100.000000000000000          0.007          0.044          0.009
252739110.000000000000000          0.008          0.025          0.024
252739120.000000000000000          0.012          0.034          0.003
252739130.000000000000000          0.008          0.033          0.019
252739140.000000000000000          0.008          0.024          0.020
252739150.000000000000000          0.013          0.028          0.025
252739160.000000000000000          0.012          0.029          0.032
252739170.000000000000000          0.007          0.025          0.029
252739180.000000000000000          0.009          0.020          0.013
252739190.000000000000000          0.010          0.015          0.022
252739200.000000000000000          0.008          0.025          0.018
252739210.000000000000000          0.013          0.024          0.013
252739220.000000000000000          0.012          0.027          0.010
252739230.000000000000000          0.007          0.027          0.020
252739240.000000000000000          0.006          0.023          0.029
252739250.000000000000000          0.009          0.022          0.044
252739260.000000000000000          0.009          0.023          0.031
252739270.000000000000000          0.005          0.021          0.031
252739280.000000000000000          0.010          0.028          0.035
252739290.000000000000000          0.006          0.025          0.032
252739300.000000000000000          0.006          0.025          0.044
252739310.000000000000000          0.007          0.040          0.034
252739320.000000000000000          0.006          0.026          0.029
252739330.000000000000000          0.007          0.024          0.023
252739340.000000000000000          0.007          0.027          0.020
252739350.000000000000000          0.005          0.024          0.032
252739360.000000000000000          0.003          0.010          0.039
252739370.000000000000000          0.006          0.026          0.025
252739380.000000000000000          0.005          0.025          0.028
252739390.000000000000000          0.001          0.019          0.030
252739400.000000000000000          0.004          0.013          0.028
252739410.000000000000000          0.006          0.028          0.033
252739420.000000000000000         -0.009          0.023          0.021
