                  Time        error x        error y        error z
252798460.000000000000000        -99.716         -1.896       -105.839
252798470.000000000000000       -134.116         -2.427       -140.284
252798480.000000000000000          0.000          0.000          0.000
252798490.000000000000000       -186.265         -2.715       -137.159
252798500.000000000000000       -201.267         -2.953       -147.838
252798510.000000000000000       -217.081         -3.219       -159.048
252798520.000000000000000       -233.244         -3.494       -170.468
252798530.000000000000000       -249.195         -3.757       -181.709
252798540.000000000000000          0.000          0.000          0.000
252798550.000000000000000         -2.761         -0.371         -7.756
252798560.000000000000000        -37.279         -0.937        -33.967
252798570.000000000000000        -74.413         -1.540        -62.240
252798580.000000000000000       -112.961         -2.167        -91.664
252798590.000000000000000       -151.661         -2.799       -121.221
252798600.000000000000000          0.000          0.000          0.000
252798610.000000000000000      -2090.704        -29.214      -1085.933
252798620.000000000000000      -1981.720        -27.465      -1028.254
252798630.000000000000000      -1865.478        -25.632       -966.543
252798640.000000000000000      -1744.004        -23.755       -901.777
252798650.000000000000000      -1619.288        -21.867       -834.925
252798660.000000000000000          0.000          0.000          0.000
252798670.000000000000000         -3.770         -0.367         -7.311
252798680.000000000000000        -41.478         -0.937        -28.701
252798690.000000000000000        -82.065         -1.544        -51.798
252798700.000000000000000       -124.187         -2.185        -75.810
252798710.000000000000000       -166.497         -2.825        -99.987
252798720.000000000000000          0.000          0.000          0.000
252798730.000000000000000       -216.004         -2.484        -83.247
252798740.000000000000000       -233.282         -2.705        -89.576
252798750.000000000000000       -251.507         -2.929        -96.221
252798760.000000000000000       -270.090         -3.153       -102.972
252798770.000000000000000       -288.478         -3.376       -109.618
252798780.000000000000000          0.000          0.000          0.000
252798790.000000000000000       -221.117         -2.259        -68.680
252798800.000000000000000       -238.780         -2.450        -73.847
252798810.000000000000000       -257.410         -2.657        -79.255
252798820.000000000000000       -276.427         -2.857        -84.748
252798830.000000000000000       -295.224         -3.057        -90.163
252798840.000000000000000          0.000          0.000          0.000
252798850.000000000000000       1985.479         26.538        733.839
252798860.000000000000000       1708.563         23.318        643.104
252798870.000000000000000       1426.192         19.988        549.655
252798880.000000000000000       1145.856         16.645        455.995
252798890.000000000000000        874.610         13.385        364.521
252798900.000000000000000          0.000          0.000          0.000
252798910.000000000000000         -5.578         -0.257         -6.063
252798920.000000000000000        -47.622         -0.673        -16.762
252798930.000000000000000        -92.875         -1.134        -28.333
